#DisplayName,IncludeFile,DefineFile,nFontId,eFontRefType,pvFontRef,nFontSz,LogicalFont,LogicalFontSize,LogicalFontStyle
#FreeSerifBoldItalic9pt7b,Fonts/FreeSerifBoldItalic9pt7b.h,NULL,E_FONT_SERIFBI1,GSLC_FONTREF_PTR,&FreeSerifItalic9pt7b,1,Serif,9,BOLD+ITALIC
#FreeSerifBoldItalic12pt7b,Fonts/FreeSerifBoldItalic12pt7b.h,NULL,E_FONT_SERIFBI2,GSLC_FONTREF_PTR,&FreeSerifItalic12pt7b,1,Serif,12,BOLD+ITALIC
#FreeSerifBoldItalic18pt7b,Fonts/FreeSerifBoldItalic18pt7b.h,NULL,E_FONT_SERIFBI3,GSLC_FONTREF_PTR,&FreeSerifItalic18pt7b,1,Serif,18,BOLD+ITALIC
#FreeSerifBoldItalic24pt7b,Fonts/FreeSerifBoldItalic24pt7b.h,NULL,E_FONT_SERIFBI4,GSLC_FONTREF_PTR,&FreeSerifItalic24pt7b,1,Serif,24,BOLD+ITALIC
FreeMono9pt7b,Fonts/FreeMono9pt7b.h,NULL,E_FONT_MONO1,GSLC_FONTREF_PTR,&FreeMono9pt7b,1,Monospaced,9,PLAIN
FreeMono12pt7b,Fonts/FreeMono12pt7b.h,NULL,E_FONT_MONO2,GSLC_FONTREF_PTR,&FreeMono12pt7b,1,Monospaced,12,PLAIN
FreeMono18pt7b,Fonts/FreeMono18pt7b.h,NULL,E_FONT_MONO3,GSLC_FONTREF_PTR,&FreeMono18pt7b,1,Monospaced,18,PLAIN
FreeMono24pt7b,Fonts/FreeMono24pt7b.h,NULL,E_FONT_MONO4,GSLC_FONTREF_PTR,&FreeMono24pt7b,1,Monospaced,24,PLAIN
FreeMonoBold9pt7b,Fonts/FreeMonoBold9pt7b.h,NULL,E_FONT_MONOB1,GSLC_FONTREF_PTR,&FreeMonoBold9pt7b,1,Monospaced,9,BOLD
FreeMonoBold12pt7b,Fonts/FreeMonoBold12pt7b.h,NULL,E_FONT_MONOB2,GSLC_FONTREF_PTR,&FreeMonoBold12pt7b,1,Monospaced,12,BOLD
FreeMonoBold18pt7b,Fonts/FreeMonoBold18pt7b.h,NULL,E_FONT_MONOB3,GSLC_FONTREF_PTR,&FreeMonoBold18pt7b,1,Monospaced,18,BOLD
FreeMonoBold24pt7b,Fonts/FreeMonoBold24pt7b.h,NULL,E_FONT_MONOB4,GSLC_FONTREF_PTR,&FreeMonoBold24pt7b,1,Monospaced,24,BOLD
FreeMonoOblique9pt7b,Fonts/FreeMonoOblique9pt7b.h,NULL,E_FONT_MONOI1,GSLC_FONTREF_PTR,&FreeMonoOblique9pt7b,1,Monospaced,9,ITALIC
FreeMonoOblique12pt7b,Fonts/FreeMonoOblique12pt7b.h,NULL,E_FONT_MONOI2,GSLC_FONTREF_PTR,&FreeMonoOblique12pt7b,1,Monospaced,12,ITALIC
FreeMonoOblique18pt7b,Fonts/FreeMonoOblique18pt7b.h,NULL,E_FONT_MONOI3,GSLC_FONTREF_PTR,&FreeMonoOblique18pt7b,1,Monospaced,18,ITALIC
FreeMonoOblique24pt7b,Fonts/FreeMonoOblique24pt7b.h,NULL,E_FONT_MONOI4,GSLC_FONTREF_PTR,&FreeMonoOblique24pt7b,1,Monospaced,24,ITALIC
#FreeMonoBoldOblique9pt7b,Fonts/FreeMonoBoldOblique9pt7b.h,NULL,E_FONT_MONOBI1,GSLC_FONTREF_PTR,&FreeMonoBoldOblique9pt7b,1,Monospaced,9,BOLD+ITALIC
#FreeMonoBoldOblique12pt7b,Fonts/FreeMonoBoldOblique12pt7b.h,NULL,E_FONT_MONOBI2,GSLC_FONTREF_PTR,&FreeMonoBoldOblique9pt7b,1,Monospaced,12,BOLD+ITALIC
#FreeMonoBoldOblique18pt7b,Fonts/FreeMonoBoldOblique18pt7b.h,NULL,E_FONT_MONOBI3,GSLC_FONTREF_PTR,&FreeMonoBoldOblique9pt7b,1,Monospaced,18,BOLD+ITALIC
#FreeMonoBoldOblique24pt7b,Fonts/FreeMonoBoldOblique24pt7b.h,NULL,E_FONT_MONOBI4,GSLC_FONTREF_PTR,&FreeMonoBoldOblique9pt7b,1,Monospaced,24,BOLD+ITALIC
